Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","2","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","37171.921","X","International reliable sources",""
"OA","Annual population","2","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","19093.043","X","International reliable sources",""
"OA","Annual population","2","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","18078.879","X","International reliable sources",""
"OA","Annual population","2","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","27099.874","X","International reliable sources",""
"OA","Annual population","2","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","9273.302","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","3","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","2882.74","X","International reliable sources",""
"OA","Annual population","3","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","1468.376","X","International reliable sources",""
"OA","Annual population","3","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","1414.359","X","International reliable sources",""
"OA","Annual population","3","Albania","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1164.388","X","International reliable sources",""
"OA","Annual population","3","Albania","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1769.975","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","4","Algeria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","42228.408","X","International reliable sources",""
"OA","Annual population","4","Algeria","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","21331.993","X","International reliable sources",""
"OA","Annual population","4","Algeria","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","20896.422","X","International reliable sources",""
"OA","Annual population","4","Algeria","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","11498.038","X","International reliable sources",""
"OA","Annual population","4","Algeria","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","30510.016","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","5","American Samoa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","55.465","X","International reliable sources",""
"OA","Annual population","5","American Samoa","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","7.153","X","International reliable sources",""
"OA","Annual population","5","American Samoa","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","48.526","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","6","Andorra","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","77.006","X","International reliable sources",""
"OA","Annual population","6","Andorra","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","9.187","X","International reliable sources",""
"OA","Annual population","6","Andorra","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","67.766","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","7","Angola","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","30809.787","X","International reliable sources",""
"OA","Annual population","7","Angola","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","15241.459","X","International reliable sources",""
"OA","Annual population","7","Angola","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","15568.328","X","International reliable sources",""
"OA","Annual population","7","Angola","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","10612.667","X","International reliable sources",""
"OA","Annual population","7","Angola","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","20161.538","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","258","Anguilla","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","14.731","X","International reliable sources",""
"OA","Annual population","258","Anguilla","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","0","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","258","Anguilla","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","15.045","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","8","Antigua and Barbuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","96.286","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","46.419","X","International reliable sources",""
